COACH ID,COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
240,Richard Pitino,-0.3,188,-0.8,243,3,1,2,0.333,2,1,0,0,0,0,0,0,2.40%,0.20%
241,Rick Barnes,-7,312,-4.4,307,24,12,12,0.5,12,8,3,1,0,0,0,2,75.90%,25.20%
242,Rick Byrd,-2.4,296,-1.9,290,6,0,6,0,6,0,0,0,0,0,0,0,6.40%,0.50%
243,Rick Majerus,0.2,85,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,4.80%,0.70%
244,Rick Pitino,2.6,22,4.1,13,32,22,10,0.688,11,7,6,5,2,1,1,3,89.50%,48.50%
245,Rick Stansbury,0,94,0,95,3,1,2,0.333,2,1,0,0,0,0,0,0,2.10%,0.10%
246,Ritchie McKay,0.3,80,0.2,86,3,1,2,0.333,2,1,0,0,0,0,0,0,0.30%,0.00%
247,Rob Jeter,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
248,Rob Lanier,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
249,Rob Senderoff,-0.6,225,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.50%,0.00%
250,Robert Jones,-0.1,117,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
251,Rod Barnes,-0.2,153,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
252,Rodney Terry,0.3,80,0.5,69,5,3,2,0.6,2,1,1,1,0,0,0,1,23.50%,5.90%
253,Roman Banks,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
254,Ron Hunter,0.4,73,0.6,67,4,1,3,0.25,3,1,0,0,0,0,0,0,0.20%,0.00%
255,Ronnie Arrow,-0.4,209,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
256,Roy Williams,8.2,1,5.6,6,44,34,10,0.773,12,11,8,6,4,3,2,8,95.50%,53.80%
257,Russ Pennell,1.2,41,1.5,33,3,2,1,0.667,1,1,1,0,0,0,0,0,2.90%,0.20%
258,Russ Turner,0.7,54,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
259,Russell Turner,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
260,Ryan Odom,-0.1,117,0.4,73,3,1,2,0.333,2,1,0,0,0,0,0,0,3.60%,0.40%
261,Saul Phillips,0.2,85,0.3,84,3,1,2,0.333,2,1,0,0,0,0,0,0,1.00%,0.00%
262,Scott Cross,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
263,Scott Drew,0.9,49,-0.3,185,29,19,10,0.655,11,8,5,3,1,1,1,2,80.80%,33.20%
264,Scott Nagy,-1.1,264,-1.1,253,5,0,5,0,5,0,0,0,0,0,0,0,1.40%,0.00%
265,Scott Sutton,-0.4,209,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
266,Sean Miller,2.2,24,2,26,30,20,10,0.667,10,8,8,4,0,0,0,3,80.60%,32.40%
267,Shaheen Holloway,2.8,21,2.9,21,4,3,1,0.75,1,1,1,1,0,0,0,0,0.10%,0.00%
268,Shaka Smart,-3,305,-3.8,306,17,7,10,0.412,10,4,1,1,1,0,0,1,38.20%,6.30%
269,Shantay Legans,-0.3,188,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
270,Stan Heath,0.1,91,0.5,69,2,1,1,0.5,1,1,0,0,0,0,0,0,3.50%,0.30%
271,Steve Alford,0.2,85,-0.9,245,14,8,6,0.571,6,5,3,0,0,0,0,0,31.30%,5.10%
272,Steve Donahue,1,45,1.2,39,6,2,4,0.333,4,1,1,0,0,0,0,0,2.00%,0.10%
273,Steve Fischer,-0.8,240,-1.2,263,12,6,6,0.5,6,4,2,0,0,0,0,1,32.10%,6.90%
274,Steve Forbes,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
275,Steve Hawkins,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
276,Steve Lavin,-1.3,271,-1.7,283,2,0,2,0,2,0,0,0,0,0,0,0,3.40%,0.20%
277,Steve Lutz,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
278,Steve Masiello,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
279,Steve Pikiell,0.1,91,0.1,90,3,1,2,0.333,2,1,0,0,0,0,0,0,1.80%,0.10%
280,Steve Pohm,-0.2,153,-0.1,131,2,1,1,0.5,1,1,0,0,0,0,0,0,3.30%,0.20%
281,Steve Proehm,0.5,69,0.5,69,3,2,1,0.667,1,1,1,0,0,0,0,0,7.70%,1.20%
282,Steve Prohm,-1.7,285,-1.2,263,3,1,2,0.333,2,1,0,0,0,0,0,0,14.00%,2.20%
283,Steve Wojciechowski,-1.5,277,-1.8,286,2,0,2,0,2,0,0,0,0,0,0,0,2.20%,0.20%
284,Stew Morrill,-2.1,290,-1.7,283,3,0,3,0,3,0,0,0,0,0,0,0,7.10%,1.00%
285,Sydney Johnson,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
286,T.J. Otzelberger,-0.2,153,-0.2,156,6,2,4,0.333,4,1,1,0,0,0,0,0,7.20%,0.60%
287,Tad Boyle,-1.5,277,-1.9,290,7,2,5,0.286,5,2,0,0,0,0,0,0,14.30%,1.90%
288,Thad Matta,-2.1,290,-0.7,233,19,12,7,0.632,7,5,4,2,1,0,0,4,81.00%,41.50%
289,Tim Cluess,-0.7,234,-0.6,222,5,0,5,0,5,0,0,0,0,0,0,0,0.30%,0.00%
290,Tim Craft,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
291,Tim Floyd,-0.9,247,-0.7,233,3,1,2,0.333,2,1,0,0,0,0,0,0,5.90%,0.60%
292,Tim Jankovich,-1.6,282,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,10.80%,2.30%
293,Tim Miles,-1,257,-1.3,270,2,0,2,0,2,0,0,0,0,0,0,0,1.60%,0.10%
294,Tobin Anderson,1,45,1,45,2,1,1,0.5,1,1,0,0,0,0,0,0,0.00%,0.00%
295,Todd Bozeman,-0.2,153,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
296,Todd Golden,-1,257,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,3.30%,0.30%
297,Tom Crean,-0.7,234,-0.7,233,12,7,5,0.583,5,4,3,0,0,0,0,1,49.10%,12.90%
298,Tom Izzo,8,2,9.2,2,45,31,14,0.689,14,12,9,5,4,1,0,4,86.00%,34.00%
299,Tom Penders,-0.3,188,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
300,Tommy Amaker,0.2,85,0.6,67,6,2,4,0.333,4,2,0,0,0,0,0,0,3.70%,0.20%
301,Tommy Lloyd,-2.3,294,-3.6,304,4,2,2,0.5,2,1,1,0,0,0,0,2,31.40%,7.80%
302,Tony Barbee,-0.6,225,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,2.20%,0.20%
303,Tony Bennett,-6.5,311,-6.9,311,24,15,9,0.625,10,6,4,2,1,1,1,5,93.60%,52.60%
304,Travis DeCuire,-0.3,188,-0.3,185,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
305,Travis Ford,-3,305,-3.3,303,7,1,6,0.143,6,1,0,0,0,0,0,0,11.50%,1.60%
306,Trent Johnson,0.6,64,0.4,73,5,3,2,0.6,2,2,1,0,0,0,0,0,9.60%,1.40%
307,Tubby Smith,-1.7,285,-1.6,280,5,1,4,0.2,4,1,0,0,0,0,0,0,7.80%,0.70%
308,Wayne Tinkle,1.2,41,0.9,47,8,3,5,0.375,5,1,1,1,0,0,0,0,2.70%,0.10%
309,Wes Miller,-0.4,209,-0.5,213,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
310,Will Brown,-0.4,209,-0.3,185,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
311,Will Wade,-1.2,268,-0.9,245,9,4,5,0.444,5,3,1,0,0,0,0,0,20.30%,1.90%
312,Zach Spiker,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
