YEAR,TEAM NO,TEAM,SEED,ROUND,AP VOTES,AP RANK,RANK?
2009,103,Memphis,2,16,977,13,1
2009,80,Tennessee,9,64,920,14,1
2009,126,Arizona St.,6,32,645,15,1
2009,105,Marquette,6,32,592,16,1
2009,,Miami FL,,,570,17,1
2009,76,USC,10,32,414,18,1
2009,,Florida,,,403,19,1
2009,,Davidson,,,347,20,1
2009,71,Wake Forest,4,64,312,21,1
2009,,Georgetown,,,311,22,1
2009,72,Villanova,3,4,256,23,1
2009,108,Kansas,3,16,233,24,1
2009,67,Wisconsin,12,32,196,25,1
2009,66,Xavier,6,16,154,26,0
2009,,UNLV,,,143,27,0
2009,,Baylor,,,128,28,0
2009,,Saint Mary's,,,112,29,0
2009,82,Syracuse,3,16,83,30,0
2009,,Kentucky,,,75,31,0
2009,92,Ohio St.,8,64,64,32,0
2009,106,LSU,8,32,31,33,0
2009,78,Texas A&M,9,32,30,34,0
2009,70,Washington,4,32,19,35,0
2009,69,West Virginia,6,64,17,36,0
2009,,Alabama,,,16,37,0
2009,,Virginia Tech,,,16,38,0
2009,122,BYU,8,64,16,39,0
2009,84,Siena,9,32,13,40,0
2009,,Washington St.,,,11,41,0
2009,,Vanderbilt,,,11,42,0
2009,118,Clemson,7,64,11,43,0
2009,127,Arizona,12,16,11,44,0
2009,81,Temple,11,64,10,45,0
2009,73,VCU,11,64,8,46,0
2009,123,Butler,9,64,7,47,0
2009,,Creighton,,,7,48,0
2009,,New Mexico,,,3,49,0
2009,117,Cleveland St.,13,32,2,50,0
2009,,Stanford,,,2,51,0
2009,,UAB,,,2,52,0
2009,,Saint Joseph's,,,1,53,0
2009,121,Cal St. Northridge,15,64,1,54,0
2009,,Drake,,,1,55,0
2009,,San Diego,,,1,56,0
2009,,Miami OH,,,1,57,0
2009,128,American,14,64,1,58,0
2008,31,North Carolina,1,4,1728,1,1
2008,13,UCLA,1,4,1710,2,1
2008,37,Memphis,1,2,1680,3,1
2008,43,Kansas,1,1,1568,4,1
2008,47,Georgetown,2,32,1504,5,1
2008,39,Louisville,3,8,1380,6,1
2008,16,Tennessee,2,16,1371,7,1
2008,35,Michigan St.,5,16,1296,8,1
2008,44,Indiana,8,64,1145,9,1
2008,6,Washington St.,4,16,1103,10,1
2008,38,Marquette,6,32,1002,11,1
2008,27,Oregon,9,64,918,12,1
2008,49,Duke,2,32,868,13,1
2008,45,Gonzaga,7,64,711,14,1
2008,15,Texas,2,8,638,15,1
2008,14,Texas A&M,9,32,623,16,1
2008,64,Arizona,10,64,499,17,1
2008,10,USC,6,64,480,18,1
2008,63,Arkansas,9,32,468,19,1
2008,40,Kentucky,11,64,372,20,1
2008,,North Carolina St.,,,338,21,1
2008,26,Pittsburgh,4,32,293,22,1
2008,18,Stanford,3,16,290,23,1
2008,,Southern Illinois,,,222,24,1
2008,42,Kansas St.,11,32,216,25,1
2008,7,Villanova,12,16,144,26,0
2008,,Ohio St.,,,128,27,0
2008,58,Butler,7,32,114,28,0
2008,,Syracuse,,,103,29,0
2008,55,Clemson,5,64,83,30,0
2008,1,Xavier,3,8,73,31,0
2008,51,Davidson,10,8,50,32,0
2008,54,Connecticut,4,64,50,33,0
2008,34,Mississippi St.,8,32,38,34,0
2008,,Florida,,,35,35,0
2008,5,West Virginia,7,16,20,36,0
2008,,VCU,,,19,37,0
2008,,Virginia,,,19,38,0
2008,30,Notre Dame,5,32,18,39,0
2008,2,Wisconsin,3,16,15,40,0
2008,,Alabama,,,14,41,0
2008,,Missouri,,,8,42,0
2008,,Nevada,,,6,43,0
2008,,Washington,,,6,44,0
2008,8,Vanderbilt,4,64,6,45,0
2008,,Maryland,,,6,46,0
2008,,Utah St.,,,4,47,0
2008,,New Mexico St.,,,4,48,0
2008,,Providence,,,3,49,0
2008,57,BYU,8,64,3,50,0
2008,,Southern Miss,,,2,51,0
2008,,Akron,,,2,52,0
2008,,Illinois,,,2,53,0
2008,48,George Mason,12,64,1,54,0
2008,,Houston,,,1,55,0
